69,4shared,New IT Solutions,Entertainment,,5802055,100 M,4.38,Free,https://www.androidrank.org/application/4shared/com.forshared?hl=en
70,AliExpress - Smarter Shopping & Better Living,Alibaba Mobile,Shopping,,5778045,100 M,4.59,Free,https://www.androidrank.org/application/aliexpress_smarter_shopping_better_living/com.alibaba.aliexpresshd?hl=en
71,APUS Launcher - Theme & Wallpaper & Hide Apps,APUS Group,Personalization,,5760315,100 M,4.47,Free,https://www.androidrank.org/application/apus_launcher_theme_wallpaper_hide_apps/com.apusapps.launcher?hl=en
72,VK,VK.com,Social,,5721027,100 M,3.81,Free,https://www.androidrank.org/application/vk/com.vkontakte.android?hl=en
73,Google Translate,Google LLC,Tools,,5697947,500 M,4.41,Free,https://www.androidrank.org/application/google_translate/com.google.android.apps.translate?hl=en
74,Plants vs. Zombies 2,ELECTRONIC ARTS,Games,Casual,5609672,100 M,4.44,Free,https://www.androidrank.org/application/plants_vs_zombies_2/com.ea.game.pvz2_row?hl=en
75,Boom Beach,Supercell,Games,Strategy,5571223,50 M,4.47,Free,https://www.androidrank.org/application/boom_beach/com.supercell.boombeach?hl=en
76,Angry Birds Classic,Rovio Entertainment Corporation,Games,Arcade,5543604,100 M,4.40,Free,https://www.androidrank.org/application/angry_birds_classic/com.rovio.angrybirds?hl=en
77,dfndr security: antivirus & anti-hacking & cleaner,PSafe,Tools,,5491507,100 M,4.54,Free,https://www.androidrank.org/application/dfndr_security_antivirus_anti_hacking_cleaner/com.psafe.msuite?hl=en
78,Real Racing  3,ELECTRONIC ARTS,Games,Racing,5473572,100 M,4.45,Free,https://www.androidrank.org/application/real_racing_3/com.ea.games.r3_row?hl=en
79,WeChat,WeChat,Communication,,5364385,100 M,4.22,Free,https://www.androidrank.org/application/wechat/com.tencent.mm?hl=en
80,Traffic Racer,Soner Kara,Games,Racing,5345213,100 M,4.46,Free,https://www.androidrank.org/application/traffic_racer/com.skgames.trafficracer?hl=en
81,Netflix,Netflix Inc.,Entertainment,,5343625,100 M,4.45,Free,https://www.androidrank.org/application/netflix/com.netflix.mediaclient?hl=en
82,Score! Hero,First Touch Games Ltd.,Games,Sports,5320008,100 M,4.63,Free,https://www.androidrank.org/application/score_hero/com.firsttouchgames.story?hl=en
83,ES File Explorer File Manager,ES Global,Productivity,,5298517,100 M,4.57,Free,https://www.androidrank.org/application/es_file_explorer_file_manager/com.estrongs.android.pop?hl=en
84,B612 - Beauty & Filter Camera,SNOW Inc.,Photography,,5180088,100 M,4.40,Free,https://www.androidrank.org/application/b612_beauty_filter_camera/com.linecorp.b612.android?hl=en
85,Avast Mobile Security 2018 - Antivirus & AppLock,Avast Software,Tools,,5142701,100 M,4.54,Free,https://www.androidrank.org/application/avast_mobile_security_2018_antivirus_applock/com.avast.android.mobilesecurity?hl=en
86,slither.io,Lowtech Studios,Games,Action,5130616,100 M,4.36,Free,https://www.androidrank.org/application/slither_io/air.com.hypah.io.slither?hl=en
87,musical.ly,musical.ly,Social,,5121096,100 M,4.36,Free,https://www.androidrank.org/application/musical_ly/com.zhiliaoapp.musically?hl=en
88,Fruit Ninja®,Halfbrick Studios,Games,Arcade,5080165,100 M,4.34,Free,https://www.androidrank.org/application/fruit_ninja/com.halfbrick.fruitninjafree?hl=en
89,Opera Mini - fast web browser,Opera,Communication,,5056491,100 M,4.45,Free,https://www.androidrank.org/application/opera_mini_fast_web_browser/com.opera.mini.native?hl=en
90,Dr. Driving,SUD Inc.,Games,Racing,4919453,100 M,4.47,Free,https://www.androidrank.org/application/dr_driving/com.ansangha.drdriving?hl=en
91,AppLock,DoMobile Lab,Tools,,4875338,100 M,4.36,Free,https://www.androidrank.org/application/applock/com.domobile.applock?hl=en
92,Zombie Tsunami,Mobigame S.A.R.L.,Games,Arcade,4864022,100 M,4.45,Free,https://www.androidrank.org/application/zombie_tsunami/net.mobigame.zombietsunami?hl=en
93,Camera360: Selfie Photo Editor with Funny Sticker,PinGuo Inc.,Photography,,4854962,100 M,4.35,Free,https://www.androidrank.org/application/camera360_selfie_photo_editor_with_funny_sticker/vStudio.Android.Camera360?hl=en
94,The Sims FreePlay,ELECTRONIC ARTS,Games,Simulation,4834791,100 M,4.24,Free,https://www.androidrank.org/application/the_sims_freeplay/com.ea.games.simsfreeplay_row?hl=en
95,Uber,Uber Technologies Inc.,Maps & Navigation,,4814273,100 M,4.20,Free,https://www.androidrank.org/application/uber/com.ubercab?hl=en
96,Hotstar,Novi Digital,Entertainment,,4807752,100 M,4.31,Free,https://www.androidrank.org/application/hotstar/in.startv.hotstar?hl=en
97,Gangstar Vegas - mafia game,Gameloft,Games,Action,4759805,50 M,4.45,Free,https://www.androidrank.org/application/gangstar_vegas_mafia_game/com.gameloft.android.ANMP.GloftGGHM?hl=en
98,Google+,Google LLC,Social,,4757223,1000 M,4.19,Free,https://www.androidrank.org/application/google_/com.google.android.apps.plus?hl=en
99,imo free video calls and chat,imo.im,Communication,,4736469,500 M,4.32,Free,https://www.androidrank.org/application/imo_free_video_calls_and_chat/com.imo.android.imoim?hl=en
100,Jetpack Joyride,Halfbrick Studios,Games,Arcade,4607072,100 M,4.40,Free,https://www.androidrank.org/application/jetpack_joyride/com.halfbrick.jetpackjoyride?hl=en
101,GO Keyboard - Cute Emojis & Themes and GIFs,GOMO,Tools,,4572480,100 M,4.49,Free,https://www.androidrank.org/application/go_keyboard_cute_emojis_themes_and_gifs/com.jb.emoji.gokeyboard?hl=en
102,Castle Clash: Heroes of the Empire US,IGG.COM,Games,Strategy,4554580,50 M,4.56,Free,https://www.androidrank.org/application/castle_clash_heroes_of_the_empire_us/com.igg.castleclash?hl=en
103,Gmail,Google LLC,Communication,,4553420,1000 M,4.33,Free,https://www.androidrank.org/application/gmail/com.google.android.gm?hl=en
104,Period Tracker - Period Calendar Ovulation Tracker,Simple Design Ltd.,Health and fitness,,4520764,100 M,4.77,Free,https://www.androidrank.org/application/period_tracker_period_calendar_ovulation_tracker/com.popularapp.periodcalendar?hl=en
105,JOOX Music - Free Streaming,Tencent Mobility Limited,Music and Audio,,4466799,50 M,4.56,Free,https://www.androidrank.org/application/joox_music_free_streaming/com.tencent.ibg.joox?hl=en
106,Garena Free Fire,GARENA INTERNATIONAL I PRIVATE LIMITED,Games,Action,4404474,50 M,4.47,Free,https://www.androidrank.org/application/garena_free_fire/com.dts.freefireth?hl=en
107,Pixel Gun 3D (Pocket Edition),Pixel Gun 3D,Games,Action,4403685,50 M,4.51,Free,https://www.androidrank.org/application/pixel_gun_3d_pocket_edition_/com.pixel.gun3d?hl=en
108,Township,Playrix Games,Games,Casual,4379741,50 M,4.61,Free,https://www.androidrank.org/application/township/com.playrix.township?hl=en
109,Tiny Flashlight + LED,Nikolay Ananiev,Tools,,4253105,100 M,4.45,Free,https://www.androidrank.org/application/tiny_flashlight_led/com.devuni.flashlight?hl=en
110,Crossy Road,HIPSTER WHALE,Games,Action,4212647,100 M,4.53,Free,https://www.androidrank.org/application/crossy_road/com.yodo1.crossyroad?hl=en
111,Pinterest,Pinterest,Social,,4210271,100 M,4.62,Free,https://www.androidrank.org/application/pinterest/com.pinterest?hl=en
112,ROBLOX,ROBLOX Corporation,Games,Adventure,4173830,100 M,4.50,Free,https://www.androidrank.org/application/roblox/com.roblox.client?hl=en
113,SimCity BuildIt,ELECTRONIC ARTS,Games,Simulation,4158538,50 M,4.45,Free,https://www.androidrank.org/application/simcity_buildit/com.ea.game.simcitymobile_row?hl=en
114,Yahoo Mail – Stay Organized,Yahoo,Communication,,4156555,100 M,4.32,Free,https://www.androidrank.org/application/yahoo_mail_stay_organized/com.yahoo.mobile.client.android.mail?hl=en
115,Smash Hit,Mediocre,Games,Arcade,4113964,100 M,4.47,Free,https://www.androidrank.org/application/smash_hit/com.mediocre.smashhit?hl=en
116,Gardenscapes,Playrix Games,Games,Casual,4024197,50 M,4.58,Free,https://www.androidrank.org/application/gardenscapes/com.playrix.gardenscapes?hl=en
117,Plants vs. Zombies FREE,ELECTRONIC ARTS,Games,Strategy,4000194,100 M,4.44,Free,https://www.androidrank.org/application/plants_vs_zombies_free/com.ea.game.pvzfree_row?hl=en
118,Temple Run,Imangi Studios,Games,Arcade,3974898,100 M,4.35,Free,https://www.androidrank.org/application/temple_run/com.imangi.templerun?hl=en
119,VideoShow-Video Editor & Video Maker & Beauty Camera,EnjoyMobi Video Editor & Video Maker Studio,Multimediamedia,Video Players,3941397,100 M,4.56,Free,https://www.androidrank.org/application/videoshow_video_editor_video_maker_beauty_camera/com.xvideostudio.videoeditor?hl=en
120,DEER HUNTER CLASSIC,Glu,Games,Action,3937194,50 M,4.42,Free,https://www.androidrank.org/application/deer_hunter_classic/com.glu.deerhunt2?hl=en
121,Angry Birds Go!,Rovio Entertainment Corporation,Games,Racing,3838152,50 M,4.24,Free,https://www.androidrank.org/application/angry_birds_go_/com.rovio.angrybirdsgo?hl=en
122,The Simpsons™:  Tapped Out,ELECTRONIC ARTS,Games,Casual,3830611,100 M,4.32,Free,https://www.androidrank.org/application/the_simpsonstm_tapped_out/com.ea.game.simpsons4_row?hl=en
123,Criminal Case,Pretty Simple,Games,Adventure,3815289,100 M,4.54,Free,https://www.androidrank.org/application/criminal_case/com.prettysimple.criminalcaseandroid?hl=en
124,Tango - Live Video Broadcast,Tango,Social,,3804142,100 M,4.29,Free,https://www.androidrank.org/application/tango_live_video_broadcast/com.sgiggle.production?hl=en
125,Angry Birds 2,Rovio Entertainment Corporation,Games,Casual,3794641,100 M,4.57,Free,https://www.androidrank.org/application/angry_birds_2/com.rovio.baba?hl=en
126,Agar.io,Miniclip.com,Games,Action,3792600,100 M,4.24,Free,https://www.androidrank.org/application/agar_io/com.miniclip.agar.io?hl=en
127,LINE Let's Get Rich,LINE Corporation,Games,Casual,3788740,50 M,4.28,Free,https://www.androidrank.org/application/line_let_s_get_rich/com.linecorp.LGGRTHN?hl=en
128,Sonic Dash,SEGA,Games,Arcade,3734668,100 M,4.45,Free,https://www.androidrank.org/application/sonic_dash/com.sega.sonicdash?hl=en
129,Badoo - Free Chat & Dating App,Badoo,Social,,3733013,100 M,4.29,Free,https://www.androidrank.org/application/badoo_free_chat_dating_app/com.badoo.mobile?hl=en
130,Mercado Libre: Encuentra tus marcas favoritas,Mercado Libre,Shopping,,3697091,50 M,4.70,Free,https://www.androidrank.org/application/mercado_libre_encuentra_tus_marcas_favoritas/com.mercadolibre?hl=en
131,FIFA Soccer: FIFA World Cup™,ELECTRONIC ARTS,Games,Sports,3696104,100 M,4.24,Free,https://www.androidrank.org/application/fifa_soccer_fifa_world_cuptm/com.ea.gp.fifamobile?hl=en
132,Mobile Recharge & DTH & Bill Payment & Money Transfer,Paytm - One97 Communications Ltd.,Shopping,,3622526,100 M,4.37,Free,https://www.androidrank.org/application/mobile_recharge_dth_bill_payment_money_transfer/net.one97.paytm?hl=en
133,SoundCloud - Music & Audio,SoundCloud,Music and Audio,,3615955,100 M,4.49,Free,https://www.androidrank.org/application/soundcloud_music_audio/com.soundcloud.android?hl=en
134,UC Browser Mini -Tiny Fast Private & Secure,UCWeb Inc.,Communication,,3588356,100 M,4.42,Free,https://www.androidrank.org/application/uc_browser_mini_tiny_fast_private_secure/com.uc.browser.en?hl=en
135,Banana Kong,FDG Entertainment GmbH & Co.KG,Games,Action,3431963,100 M,4.42,Free,https://www.androidrank.org/application/banana_kong/com.fdgentertainment.bananakong?hl=en
136,Top Eleven 2018 -  Be a Soccer Manager,Nordeus,Games,Sports,3416997,50 M,4.44,Free,https://www.androidrank.org/application/top_eleven_2018_be_a_soccer_manager/eu.nordeus.topeleven.android?hl=en
137,µTorrent®- Torrent Downloader,BitTorrent Inc.,Multimediamedia,Video Players,3391821,100 M,4.53,Free,https://www.androidrank.org/application/torrent_torrent_downloader/com.utorrent.client?hl=en
138,Hangouts,Google LLC,Communication,,3388286,1000 M,4.01,Free,https://www.androidrank.org/application/hangouts/com.google.android.talk?hl=en
139,Google Play Music,Google LLC,Music and Audio,,3386103,1000 M,3.93,Free,https://www.androidrank.org/application/google_play_music/com.google.android.music?hl=en
140,Candy Camera - selfie & beauty camera & photo editor,JP Brothers Inc.,Photography,,3354225,100 M,4.39,Free,https://www.androidrank.org/application/candy_camera_selfie_beauty_camera_photo_editor/com.joeware.android.gpulumera?hl=en
141,YouCam Makeup - Magic Selfie Makeovers,Perfect Corp.,Photography,,3295653,100 M,4.56,Free,https://www.androidrank.org/application/youcam_makeup_magic_selfie_makeovers/com.cyberlink.youcammakeup?hl=en
142,Need for Speed™ No Limits,ELECTRONIC ARTS,Games,Racing,3290502,50 M,4.43,Free,https://www.androidrank.org/application/need_for_speedtm_no_limits/com.ea.game.nfs14_row?hl=en
143,Shazam,Shazam Entertainment Limited,Music and Audio,,3283485,100 M,4.39,Free,https://www.androidrank.org/application/shazam/com.shazam.android?hl=en
144,Hola Launcher- Theme &Wallpaper,Holaverse,Personalization,,3276190,100 M,4.48,Free,https://www.androidrank.org/application/hola_launcher_theme_wallpaper/com.hola.launcher?hl=en
145,Smule - The #1 Singing App,Smule,Music and Audio,,3226396,100 M,4.18,Free,https://www.androidrank.org/application/smule_the_1_singing_app/com.smule.singandroid?hl=en
146,Talking Tom Cat 2,Outfit7 Limited,Entertainment,,3203845,100 M,4.32,Free,https://www.androidrank.org/application/talking_tom_cat_2/com.outfit7.talkingtom2free?hl=en
147,Pet Rescue Saga,King,Games,Casual,3164067,100 M,4.33,Free,https://www.androidrank.org/application/pet_rescue_saga/com.king.petrescuesaga?hl=en
148,Microsoft Outlook,Microsoft Corporation,Productivity,,3138104,100 M,4.28,Free,https://www.androidrank.org/application/microsoft_outlook/com.microsoft.office.outlook?hl=en
149,Cooking Fever,Nordcurrent,Games,Arcade,3121868,100 M,4.49,Free,https://www.androidrank.org/application/cooking_fever/com.nordcurrent.canteenhd?hl=en
150,CM Locker - Security Lockscreen,Cheetah Mobile (Secure lockscreen & Applock),Tools,,3084433,100 M,4.61,Free,https://www.androidrank.org/application/cm_locker_security_lockscreen/com.cmcm.locker?hl=en
151,Telegram,Telegram FZ-LLC,Communication,,3083769,100 M,4.37,Free,https://www.androidrank.org/application/telegram/org.telegram.messenger?hl=en
152,BeautyPlus - Easy Photo Editor & Selfie Camera,MEITU,Photography,,3083121,100 M,4.39,Free,https://www.androidrank.org/application/beautyplus_easy_photo_editor_selfie_camera/com.commsource.beautyplus?hl=en
153,MyJio,Reliance Industries Ltd.,Productivity,,3082665,100 M,4.35,Free,https://www.androidrank.org/application/myjio/com.jio.myjio?hl=en
154,Firefox Browser fast & private,Mozilla,Communication,,3061625,100 M,4.37,Free,https://www.androidrank.org/application/firefox_browser_fast_private/org.mozilla.firefox?hl=en
155,Vector,NEKKI,Games,Arcade,3043954,100 M,4.38,Free,https://www.androidrank.org/application/vector/com.nekki.vector?hl=en
156,Omni Swipe - Small and Quick,Holaverse Group,Tools,,3042642,100 M,4.52,Free,https://www.androidrank.org/application/omni_swipe_small_and_quick/com.lazyswipe?hl=en
157,MORTAL KOMBAT X,Warner Bros. International Enterprises,Games,Action,3005232,10 M,4.45,Free,https://www.androidrank.org/application/mortal_kombat_x/com.wb.goog.mkx?hl=en
158,WhatsApp Wallpaper,WhatsApp Inc.,Personalization,,2997498,100 M,3.98,Free,https://www.androidrank.org/application/whatsapp_wallpaper/com.whatsapp.wallpaper?hl=en
159,Adobe Acrobat Reader,Adobe,Productivity,,2990842,100 M,4.32,Free,https://www.androidrank.org/application/adobe_acrobat_reader/com.adobe.reader?hl=en
160,Parallel Space - Multiple accounts & Two face,LBE Tech,Personalization,,2980871,100 M,4.60,Free,https://www.androidrank.org/application/parallel_space_multiple_accounts_two_face/com.lbe.parallel.intl?hl=en
161,War Robots,PIXONIC,Games,Action,2967497,50 M,4.59,Free,https://www.androidrank.org/application/war_robots/com.pixonic.wwr?hl=en
162,Don't Tap The White Tile,Cheetah Games,Games,Arcade,2957131,100 M,4.36,Free,https://www.androidrank.org/application/don_t_tap_the_white_tile/com.umonistudio.tile?hl=en
